"MMSA_NAME","CASES","DEATHS","death_rate","MMSA_Number","BMI_.kg.m2.","underweight","normalweight","overweight","obese","extremeobesity","Gen_Hlth_good","Gen_Hlth_bad","Gen_Hlth_unkn","Insured","Uninsured","Unkn_insurance","HD_yes","HD_no","Unkn_HD","cancer_yes","cancer_no","Unkn_cancer","KD_yes","KD_no","Unkn_KD","Diabetes_yes","Diabetes_no","Unkn_Diabetes","Smoke_yes","Smoke_no","Unkn_Smoke","age_30minus","age_30_40","age_40_50","age_50_60","age_60_70","age_70plus"
"Louisville/Jefferson County, KY-IN",24150,529,2.19047619047619,31140,28.1498098188392,0.0196843182698932,0.302847818409994,0.383296063688148,0.239970180675735,0.0542016189562296,0.796178279821306,0.202230692756947,0.00159102742174697,0.902157571728098,0.0928163773688968,0.00502605090300511,0.0555212003917165,0.93699072374007,0.00748807586821386,0.082044273998295,0.914987219004562,0.00296850699714332,0.0310545702359527,0.966108601239367,0.00283682852468047,0.136833290397495,0.860831750366528,0.00233495923597782,0.745330339292537,0.218237980915327,0.0364316797921356,0.188637977960372,0.176844473477959,0.16706489472241,0.188792368864316,0.150266839191531,0.128393445783413
"Lubbock, TX",12139,134,1.10388005601779,31180,27.8815862780872,0.0202515209635131,0.325655025429993,0.338429856069596,0.259018878483273,0.0566447190536246,0.790596176347345,0.19591138476582,0.0134924388868352,0.753571028531969,0.233327262673324,0.0131017087947075,0.0306480321269513,0.961339893182944,0.00801207469010434,0.051539342099156,0.93655853732186,0.0119021205789844,0.0310099447361594,0.965651659515889,0.00333839574795174,0.111946962249601,0.888053037750399,0,0.78199249560849,0.189961472299486,0.028046032092024,0.274120283742914,0.203193389778774,0.130023378912503,0.175775125928758,0.113744234836064,0.103143586800987
"Madison, WI",12128,49,0.404023746701847,31540,27.6090331722461,0.0109724475429992,0.306559240680365,0.431907416686181,0.207811020554874,0.0427498745355807,0.906426599395308,0.0923414183798534,0.00123198222483906,0.915100671387587,0.0848993286124127,0,0.0247799812105976,0.964404598707071,0.0108154200823311,0.0548491221951151,0.94357506565351,0.00157581215137519,0.0144648435924091,0.983420617282218,0.00211453912537293,0.0902529364876718,0.908171251360953,0.00157581215137519,0.844624893454671,0.107903510894132,0.0474715956511973,0.216019967528337,0.198392653395942,0.17642800305591,0.160272616627374,0.14582587912016,0.103060880272278
"Manhattan, KS",2562,10,0.39032006245121,31740,27.3909063025312,0.0235638686491898,0.371340582539478,0.385815473217228,0.177182253509798,0.0420978220843059,0.898764301524462,0.100171396401241,0.00106430207429775,0.874807220871362,0.112862134028734,0.0123306450999031,0.0211387181309104,0.973198268065812,0.00566301380327739,0.0449348525914381,0.953572190426383,0.00149295698217875,0.0196120283091007,0.977655658229843,0.00273231346105666,0.0717537460461308,0.92388667961604,0.00435957433782944,0.818796604161761,0.143299972143368,0.0379034236948707,0.434980439571683,0.180644405961725,0.0923767537756216,0.117411312365241,0.0962227412154666,0.0783643471102624
"Memphis, TN-MS-AR",44599,696,1.56057310702034,32820,28.9507175305649,0.0148520170797654,0.250823688725997,0.393876307816024,0.275418484798547,0.0650295015796668,0.810674517868059,0.188523609903076,0.000801872228864797,0.827307093539637,0.164402876321434,0.00829003013892935,0.0442144050600875,0.95103070788701,0.00475488705290265,0.0545632604068588,0.943742884624686,0.00169385496845536,0.0278830558835153,0.970633272656918,0.00148367145956684,0.156947409984429,0.840696887959575,0.00235570205599567,0.759170180460843,0.187562350536349,0.0532674690028086,0.224868127833168,0.169829104496823,0.16951805465142,0.177496117098948,0.146548796379688,0.111739799539953
"Minneapolis-St. Paul-Bloomington, MN-WI",67184,1667,2.48124553465111,33460,27.2256548908585,0.0162874966769022,0.341063576642003,0.409919790243482,0.20351447794478,0.0292146584928329,0.884206052319011,0.113820388722407,0.00197355895858208,0.919826467892555,0.0742665894702634,0.00590694263718118,0.0302139990960838,0.965023717997934,0.00476228290598247,0.0599284062857003,0.938735658674477,0.00133593503982245,0.0209575569646907,0.97660008002116,0.00244236301414972,0.0971877597859686,0.901193892361041,0.00161834785299001,0.818969478144086,0.139639459616189,0.0413910622397241,0.201923708805557,0.189106035818899,0.170491690492822,0.185336657107879,0.14048282075018,0.112659087024662
"Minot, ND",1280,13,1.015625,33500,27.8935924865631,0.0238383840227228,0.285737239261694,0.408045523154553,0.240694857592133,0.041683995968897,0.844903519492205,0.149341668460642,0.00575481204715305,0.898633441864997,0.0966535731075885,0.00471298502741404,0.0295448710918087,0.96367821486193,0.00677691404626096,0.0657479833263618,0.93251435830741,0.00173765836622848,0.0207412877758352,0.977707778247497,0.00155093397666784,0.0985725257447641,0.897367973564671,0.00405950069056475,0.758327150171762,0.200544232984638,0.041128616843599,0.272675673438829,0.204573455838638,0.116383864368073,0.157766075747777,0.128523050999285,0.120077879607397
"Montgomery, AL",14083,287,2.03791805723212,33860,28.3278796892393,0.0122852238955573,0.295929404110112,0.37223698882187,0.267932645349024,0.0516157378234369,0.771659643758072,0.227947719942737,0.000392636299190413,0.923607565728483,0.0763924342715168,0,0.0522319746863806,0.93827708405206,0.00949094126155988,0.0883387725606782,0.911661227439322,0,0.0371004910705716,0.959113150208886,0.00378635872054285,0.124192027344519,0.868897776370132,0.00691019628534949,0.745695795334537,0.200441349626063,0.0538628550394006,0.229734017095187,0.161419625428748,0.173980883454789,0.164116382755172,0.153647673542492,0.117101417723612
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",12058,224,1.85768784209653,34820,27.961836945003,0.0165557519092717,0.29085093470434,0.408387420498337,0.244941165589476,0.0392647272985761,0.789854787560884,0.204383012798436,0.00576219964068019,0.826191829677598,0.16738141904742,0.00642675127498199,0.0664526577694681,0.925451716320456,0.00809562591007578,0.081704796629975,0.916023253056603,0.00227195031342158,0.0390655228506173,0.957165069745043,0.00376940740433929,0.142762010588637,0.854241817061253,0.00299617235011015,0.770266982111563,0.195800198298542,0.0339328195898945,0.168827187332725,0.133814012547668,0.136030224692979,0.170098027402803,0.215561502730559,0.175669045293266
"Nashville-Davidson--Murfreesboro--Franklin, TN",60978,715,1.17255403588179,34980,28.1336167729606,0.0142494428916945,0.302999300554649,0.400828636865252,0.231362148669352,0.0505604710190522,0.838471348969503,0.156678633010129,0.00485001802036821,0.880156308712017,0.114813851016286,0.00502984027169739,0.0449790831244222,0.950506388738232,0.00451452813734576,0.0673744676274108,0.930404362234757,0.00222117013783245,0.0285153996284239,0.970092523064801,0.00139207730677506,0.13641729655293,0.861057336662912,0.00252536678415728,0.763388583851285,0.183904274174647,0.0527071419740682,0.215581762094599,0.189866500181704,0.170173305080866,0.177479581296452,0.140020367095972,0.106878484250407
