"MMSA_NAME","CASES","DEATHS","death_rate","MMSA_Number","BMI_.kg.m2.","underweight","normalweight","overweight","obese","extremeobesity","Gen_Hlth_good","Gen_Hlth_bad","Gen_Hlth_unkn","Insured","Uninsured","Unkn_insurance","BP_High","BP_normal","BP_unkn","Chol_High","Chol_normal","Unkn_chol","HD_yes","HD_no","Unkn_HD","cancer_yes","cancer_no","Unkn_cancer","KD_yes","KD_no","Unkn_KD","Diabetes_yes","Diabetes_no","Unkn_Diabetes","Smoke_yes","Smoke_no","Unkn_Smoke","age_30minus","age_30_40","age_40_50","age_50_60","age_60_70","age_70plus"
"Kahului-Wailuku-Lahaina, HI",391,9,2.30179028132992,27980,27.071374745762,0.03165636099624,0.409125219513389,0.314173418324316,0.199777873468262,0.0452671276977927,0.85301770888671,0.14698229111329,0,0.92093723815463,0.0779274802626725,0.00113528158269778,0.298241559696882,0.699540654028736,0.00221778627438223,0.261371565715701,0.603573596621723,0.135054837662576,0.034270811599663,0.962385065964087,0.00334412243625048,0.0728953077333866,0.927104692266613,0,0.0359055861596069,0.964094413840393,0,0.151185587271598,0.848814412728402,0,0.835108031028062,0.114346697000827,0.0505452719711116,0.169207811639559,0.171134456781287,0.164995673101049,0.179458287356225,0.174301211003477,0.140902560118403
"Kansas City, MO-KS",26659,381,1.42916088375408,28140,27.7804192999678,0.016760246292491,0.384139216793416,0.318883005009668,0.216772824316138,0.0634447075882868,0.856349472243123,0.141763367863608,0.00188715989326904,0.871671045980386,0.124398783564517,0.00393017045509756,0.315782065561973,0.679919388776847,0.00429854566117987,0.285442891353541,0.623819561347975,0.0907375472984845,0.0378604652084926,0.956999692800523,0.00513984199098414,0.0635859672614039,0.933393074476118,0.00302095826247826,0.0247419330265498,0.97344942011475,0.0018086468587005,0.119260859875311,0.879920204127357,0.000818935997332559,0.7894539955151,0.162212345420141,0.0483336590647592,0.193030971526107,0.196461807100136,0.149312314051035,0.186681198995226,0.148024234007286,0.12648947432021
"Knoxville, TN",16811,139,0.826839569329606,28940,29.4880022633599,0.0267123838249769,0.327556098643943,0.318193432462524,0.212036820501317,0.115501264567239,0.798090491786429,0.201909508213571,0,0.875267254573916,0.12242572035762,0.00230702506846444,0.3586924679984,0.635658384385947,0.00564914761565281,0.33407465084045,0.60554087569352,0.0603844734660306,0.0501828114883019,0.944448470576687,0.00536871793501161,0.080035605495312,0.919315049518762,0.000649344985926522,0.0319741593601766,0.965027419849394,0.00299842079042918,0.140695384966863,0.855149673172515,0.00415494186062261,0.689700751512589,0.258507708604457,0.0517915398829538,0.208271601584736,0.162051204074749,0.132806107049277,0.161962509283095,0.17541156683765,0.159497011170492
"Lansing-East Lansing, MI",5525,105,1.90045248868778,29620,26.7903514879779,0.0181948815556846,0.410778637332935,0.311789212284521,0.23704479860779,0.0221924702190683,0.839947391264734,0.156058425855808,0.00399418287945748,0.900931487322472,0.0753247634797054,0.0237437491978223,0.348868796498373,0.650237423878662,0.000893779622964901,0.252710049358048,0.572916195375919,0.174373755266033,0.0561134205461001,0.939764217786026,0.00412236166787355,0.0764061362847906,0.923593863715209,0,0.0266446532770608,0.969197680023007,0.00415766669993264,0.113130281196221,0.883705994003414,0.00316372480036498,0.771670773993485,0.19551092199904,0.032818304007475,0.26105051481575,0.166136951275935,0.152846497524613,0.160303089115764,0.134354188073924,0.125308759194015
"Lexington-Fayette, KY",8689,95,1.0933364023478,30460,26.6144743504089,0.0111324857875004,0.462556242254795,0.309971801099803,0.180414874463968,0.0359245963939329,0.844790828164444,0.155209171835556,0,0.92922325580776,0.0601840388300669,0.0105927053621734,0.37249312836428,0.623962603545122,0.00354426809059756,0.261470756806643,0.638056482176234,0.100472761017123,0.0437684724273971,0.947863960046881,0.00836756752572158,0.0822826550996511,0.915638616617844,0.0020787282825053,0.0324314879153831,0.967568512084617,0,0.142516779796632,0.853938952112771,0.00354426809059756,0.787453485874362,0.180230227516778,0.0323162866088603,0.238737386928252,0.166298804162989,0.153091861012563,0.194860359178222,0.115883944198689,0.131127644519286
"Lincoln, NE",6729,27,0.401248328131966,30700,27.5054358967154,0.0400517816485929,0.375307126926841,0.317892368986794,0.203439226368272,0.0633094960695004,0.869105790775128,0.130894209224872,0,0.891218673519073,0.101630945413419,0.00715038106750861,0.27905854245028,0.719371134568831,0.00157032298088881,0.245482681256141,0.661842860429804,0.0926744583140552,0.0348658827396266,0.960710579972298,0.00442353728807527,0.0642894321431246,0.935710567856875,0,0.0287863100077787,0.968575635528173,0.00263805446404801,0.0984424320763191,0.90064065932438,0.000916908599300512,0.849156549174383,0.11807513081446,0.0327683200111568,0.274964864202441,0.181686575536428,0.143092976389344,0.150698877733526,0.136271999207892,0.113284706930368
"Little Rock-North Little Rock-Conway, AR",15796,215,1.36110407698151,30780,30.2931168867485,0,0.282860660511045,0.321892840804825,0.259190099481761,0.136056399202369,0.767223805180439,0.232507114137429,0.000269080682131489,0.873258887889657,0.116555672285167,0.0101854398251764,0.423330172375388,0.572691689120312,0.00397813850429992,0.308855881078877,0.577832318954337,0.113311799966786,0.0522006442039138,0.943015344372644,0.00478401142344226,0.0822750280932379,0.91472642137538,0.00299855053138197,0.0401668307852363,0.956294867248681,0.0035383019660823,0.125553420503725,0.874068630475465,0.000377949020809956,0.723614801468322,0.238877363465293,0.037507835066385,0.214570433264272,0.198273909927265,0.150812161735604,0.15047211558483,0.157268918571585,0.128602460916444
"Los Angeles-Long Beach-Anaheim, CA",324050,7844,2.42061410276192,31080,26.7011846390824,0.0464878749905763,0.386596348995105,0.340509878866325,0.20123830517366,0.0251675919743331,0.821919345056934,0.177780828283262,0.000299826659803889,0.884408223100956,0.112291829033791,0.0032999478652529,0.276140578176038,0.723163369841875,0.000696051982087029,0.275754480848505,0.653605554694798,0.0706399644566977,0.0263929289139807,0.971384404245011,0.0022226668410085,0.0499295310647306,0.946360424812126,0.00371004412314329,0.0317180571896234,0.96743104329466,0.000850899515716747,0.15483437598195,0.843141476331697,0.00202414768635298,0.813377571291833,0.108156646956865,0.0784657817513018,0.223946981636383,0.177387193468608,0.183945139728792,0.170213021792643,0.128364861435589,0.116142801937986
"Louisville/Jefferson County, KY-IN",24150,529,2.19047619047619,31140,27.5422599221335,0.0099419288525505,0.325893099719709,0.444919472858757,0.165233699926688,0.0540117986422954,0.77585272131474,0.223830306027099,0.000316972658160831,0.904408355250903,0.0856905075083176,0.00990113724077952,0.367492077094078,0.629521660367717,0.00298626253820495,0.315421694051841,0.575437786947954,0.109140519000204,0.0536929035522978,0.940332745268451,0.00597435117925158,0.0790798423878768,0.918817131813297,0.00210302579882619,0.0408406878851387,0.958139044625877,0.00102026748898429,0.156222112648274,0.840636766561711,0.00314112079001428,0.743167220134099,0.217758373870976,0.0390744059949253,0.18614371730433,0.169906338451604,0.181840167816474,0.180058196214276,0.148217791321576,0.13383378889174
"Manhattan, KS",2562,10,0.39032006245121,31740,26.7293570239845,0.0414568483567403,0.416231430560405,0.291802333102987,0.227800727000335,0.0227086609795324,0.882780915048416,0.115421719945109,0.0017973650064745,0.90280858399048,0.0816227508905018,0.0155686651190177,0.257566318163846,0.736137489764666,0.00629619207148782,0.156009873749842,0.64741811029123,0.196572015958928,0.0272533585720158,0.964809728185097,0.0079369132428873,0.0485125972090917,0.9477308781575,0.00375652463340823,0.0173262760582135,0.978305969539953,0.00436775440183309,0.0774058574990609,0.919228669084646,0.00336547341629328,0.836405129961112,0.1148390404253,0.048755829613588,0.438796322968516,0.169977449378486,0.0983885765737536,0.105475659597379,0.10333334604701,0.0840286454348567
"Memphis, TN-MS-AR",44599,696,1.56057310702034,32820,29.4785605056589,0.0187800532000196,0.23985397392022,0.380158969461657,0.273948595016973,0.0872584084011303,0.808380477408459,0.191581353511289,3.81690802516527e-05,0.820484934066866,0.168732734865438,0.0107823310676961,0.396794347103092,0.595881199595921,0.00732445330098682,0.276016505974411,0.620684727062773,0.103298766962816,0.0284469548670919,0.965178377536798,0.00637466759610962,0.0583023883106577,0.940844741341806,0.000852870347536329,0.0266363441442055,0.971875466101803,0.00148818975399128,0.137431060722514,0.861912770492304,0.000656168785182184,0.74856887735252,0.187921931110558,0.0635091915369214,0.220322046225482,0.177482463696659,0.156389645612428,0.163530649835888,0.169719665573002,0.112555529056541
"Minneapolis-St. Paul-Bloomington, MN-WI",67184,1667,2.48124553465111,33460,26.5493926151631,0.0275055736697349,0.414619659314441,0.352606241454011,0.171422118906153,0.03384640665566,0.884226141912321,0.114798184469401,0.000975673618278765,0.915126418734727,0.0781568503690018,0.0067167308962716,0.260115964954182,0.736314454185995,0.00356958085982255,0.239400998266845,0.678741652359308,0.0818573493738474,0.0301912041227113,0.963722455978466,0.0060863398988233,0.0633411820499072,0.93508867276609,0.00157014518400304,0.0249824874693958,0.972080088384114,0.00293742414649071,0.0906929583444028,0.907848833482937,0.00145820817266055,0.829232394818123,0.126162541174956,0.0446050640069214,0.197975675142934,0.194488344108316,0.160796417366845,0.180032355916852,0.149250307173684,0.117456900291369
"Minot, ND",1280,13,1.015625,33500,27.4849930767399,0.045674448643794,0.33331878253302,0.348891881607262,0.241681849340009,0.0304330378759142,0.843018282897264,0.145489225227531,0.0114924918752044,0.872756654253976,0.121658016039082,0.00558532970694165,0.3156925382721,0.6843074617279,0,0.248380325086688,0.578054390176655,0.173565284736657,0.0334650915867993,0.963754885804135,0.00278002260906601,0.0604409111784206,0.938966559260169,0.00059252956141005,0.0280204352648478,0.970361273701587,0.00161829103356522,0.107891603516856,0.892108396483144,0,0.78516820804152,0.185094441820534,0.0297373501379452,0.256549560985324,0.226595848447126,0.126544652497732,0.138927147344246,0.140105736393644,0.111277054331928
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",12058,224,1.85768784209653,34820,28.2650753949929,0.0360756508970795,0.296180384951444,0.357175568467183,0.254400707521195,0.056167688163098,0.775775051305717,0.220017690176038,0.00420725851824493,0.842558287210086,0.157327011574504,0.000114701215410324,0.430727929489871,0.568966372512093,0.000305697998036417,0.349029326865108,0.556496263802623,0.0944744093322692,0.0634928131703402,0.92802040789728,0.00848677893237981,0.0972021137643898,0.899578013283162,0.0032198729524486,0.0471547852310989,0.949155261402691,0.00368995336620968,0.154381460160448,0.842544789681163,0.00307375015838949,0.769164483802847,0.198683492790393,0.0321520234067596,0.167738292192321,0.113160628101695,0.147945250435444,0.163681923854844,0.200861318598693,0.206612586817002
"Nashville-Davidson--Murfreesboro--Franklin, TN",60978,715,1.17255403588179,34980,27.1040827890427,0.0198201730863154,0.403791061279819,0.355492878818608,0.166881946884122,0.0540139399311361,0.855694849602731,0.143806030533737,0.00049911986353224,0.878698721538823,0.117229294436526,0.0040719840246513,0.369310235057893,0.628888405334126,0.0018013596079817,0.301984685841169,0.631902510064016,0.066112804094815,0.0372211532600953,0.960151566802232,0.00262727993767266,0.0743815419085506,0.924860004797979,0.000758453293470534,0.04017749775939,0.958907673264476,0.00091482897613384,0.137720228978328,0.861645980539645,0.000633790482027841,0.790188316895305,0.14940585767433,0.060405825430365,0.211760285948584,0.195584577192929,0.172288952250225,0.15951438966966,0.150815650456822,0.11003614448178
