"","MMSANAME","BMI_(kg/m2)","%Underweight","%Normal_weight","%Overwieght","%Obese","%Extreme_Obesity","State"
"46","Fort Worth-Arlington",27.8510654887036,1.03092783505155,37.1134020618557,35.0515463917526,20.6185567010309,6.18556701030928,"TX"
"47","Gainesville",27.1146669419169,4.12371134020619,38.1443298969072,37.1134020618557,13.4020618556701,7.21649484536082,"FL"
"48","Grand Forks",27.0123517740939,2.1978021978022,43.956043956044,25.2747252747253,24.1758241758242,4.3956043956044,"ND-MN"
"49","Grand Island",28.4413653518067,0,33.3333333333333,33.3333333333333,29.3650793650794,3.96825396825397,"NE"
"50","Grand Rapids-Wyoming",28.0742670171591,1.62162162162162,38.3783783783784,32.4324324324324,21.6216216216216,5.94594594594595,"MI"
"51","Greenville-Anderson-Mauldin",28.3671768071337,3.78151260504202,32.3529411764706,31.9327731092437,24.3697478991597,7.56302521008403,"SC"
"52","Hagerstown-Martinsburg",28.6926732969721,1.92307692307692,31.7307692307692,32.6923076923077,25.9615384615385,7.69230769230769,"MD-WV"
"53","Hartford-West Hartford-East Hartford",27.074210360286,2.47787610619469,37.5221238938053,38.5840707964602,17.3451327433628,4.07079646017699,"CT"
"54","Hilton Head Island-Bluffton-Beaufort",27.4223874658886,0,50,25.8064516129032,16.1290322580645,8.06451612903226,"SC"
"55","Houston-The Woodlands-Sugar Land",28.1694932306035,3.83747178329571,31.3769751693002,36.117381489842,21.6704288939052,6.99774266365688,"TX"
"56","Huntington-Ashland",29.449125445127,1.46341463414634,33.1707317073171,31.219512195122,20.9756097560976,13.1707317073171,"WV-KY-OH"
"57","Indianapolis-Carmel-Anderson",27.9625152954389,2.37099023709902,37.5174337517434,31.1018131101813,21.7573221757322,7.25244072524407,"IN"
"58","Jackson",29.732286819234,3,31,31,27,8,"MS"
"59","Jacksonville",28.3023605679453,1.76767676767677,34.8484848484849,34.3434343434343,21.2121212121212,7.82828282828283,"FL"
"60","Kahului-Wailuku-Lahaina",27.0172370856532,4.01606425702811,42.1686746987952,27.710843373494,21.6867469879518,4.41767068273092,"HI"
"61","Kansas City",27.834303352299,1.79968701095462,37.5586854460094,33.489827856025,20.735524256651,6.41627543035994,"MO-KS"
"62","Kingsport-Bristol-Bristol",29.8277452326764,1.23456790123457,30.8641975308642,23.4567901234568,33.3333333333333,11.1111111111111,"TN-VA"
"63","Knoxville",29.4976236333726,1.85185185185185,32.4074074074074,32.4074074074074,22.2222222222222,11.1111111111111,"TN"
"64","Lansing-East Lansing",26.4268186329049,2.97029702970297,44.5544554455446,26.7326732673267,23.7623762376238,1.98019801980198,"MI"
"65","Lexington-Fayette",26.0556668819834,2.41935483870968,50,29.0322580645161,15.3225806451613,3.2258064516129,"KY"
