"","MMSA_NAME","CASES","DEATHS","death_rate"
"63","Battle Creek",1492,46,3.08310991957105
"64","Bay City",2068,99,4.78723404255319
"65","Beatrice",265,5,1.88679245283019
"66","Beaumont-Port Arthur",10860,210,1.93370165745856
"67","Beaver Dam",1994,17,0.852557673019057
"68","Beckley",1158,22,1.89982728842832
"69","Bedford",532,31,5.82706766917293
"70","Beeville",1816,34,1.87224669603524
"71","Bellefontaine",317,3,0.946372239747634
"72","Bellingham",1355,45,3.3210332103321
"73","Bemidji",473,5,1.05708245243129
"74","Bend",873,12,1.3745704467354
"75","Bennettsville",931,11,1.18152524167562
"76","Bennington",115,1,0.869565217391304
"77","Berlin",22,0,0
"78","Big Rapids",228,3,1.31578947368421
"79","Big Spring",823,16,1.94410692588092
"80","Big Stone Gap",459,9,1.96078431372549
"81","Billings",3530,70,1.98300283286119
"82","Binghamton",1922,106,5.51508844953174
"83","Birmingham-Hoover",32666,494,1.51227576072981
"84","Bismarck",5146,76,1.47687524290711
"85","Blackfoot",960,10,1.04166666666667
"86","Blacksburg-Christiansburg",3069,10,0.325839035516455
"87","Bloomington",6211,66,1.06263081629367
"88","Bloomsburg-Berwick",1104,40,3.6231884057971
"89","Bluefield",812,35,4.31034482758621
"90","Bluffton",290,4,1.37931034482759
"91","Blytheville",1708,51,2.98594847775176
"92","Bogalusa",1643,67,4.07790626902008
"93","Boise City",22155,260,1.17354998871587
"94","Bonham",691,15,2.17076700434153
"95","Boone",905,1,0.110497237569061
